Caso,Algoritmo,Distancia,Tiempo(µs),Tamaño
Caso 1,Fuerza Bruta,0,0,0
Caso 1,Programación Dinamica,0,1,0
Caso 2,Fuerza Bruta,1,0,1
Caso 2,Programación Dinamica,1,1,1
Caso 3,Fuerza Bruta,1,0,2
Caso 3,Programación Dinamica,1,1,2
Caso 4,Fuerza Bruta,2,0,3
Caso 4,Programación Dinamica,2,1,3
Caso 5,Fuerza Bruta,2,1,4
Caso 5,Programación Dinamica,2,1,4
Caso 6,Fuerza Bruta,3,2,5
Caso 6,Programación Dinamica,3,1,5
Caso 7,Fuerza Bruta,3,15,6
Caso 7,Programación Dinamica,3,3,6
Caso 8,Fuerza Bruta,4,24,7
Caso 8,Programación Dinamica,4,3,7
Caso 9,Fuerza Bruta,1,0,2
Caso 9,Programación Dinamica,1,1,2
Caso 10,Fuerza Bruta,1,3,3
Caso 10,Programación Dinamica,1,2,3
Caso 11,Fuerza Bruta,2,14,4
Caso 11,Programación Dinamica,2,2,4
Caso 12,Fuerza Bruta,3,3,5
Caso 12,Programación Dinamica,3,1,5
Caso 13,Fuerza Bruta,3,85,7
Caso 13,Programación Dinamica,3,3,7
Caso 14,Fuerza Bruta,5,5,7
Caso 14,Programación Dinamica,5,2,7
Caso 15,Fuerza Bruta,2,0,2
Caso 15,Programación Dinamica,2,0,2
Caso 16,Fuerza Bruta,4,3,3
Caso 16,Programación Dinamica,4,1,3
Caso 17,Fuerza Bruta,8,13,4
Caso 17,Programación Dinamica,8,2,4
Caso 18,Fuerza Bruta,8,65,5
Caso 18,Programación Dinamica,8,2,5
Caso 19,Fuerza Bruta,9,341,6
Caso 19,Programación Dinamica,9,3,6
Caso 20,Fuerza Bruta,10,9811,8
Caso 20,Programación Dinamica,10,4,8
Caso 21,Fuerza Bruta,14,283097,10
Caso 21,Programación Dinamica,14,24,10
Caso 22,Fuerza Bruta,17,9176200,12
Caso 22,Programación Dinamica,17,15,12
Caso 23,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,15
Caso 23,Programación Dinamica,26,28,15
Caso 24,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,20
Caso 24,Programación Dinamica,32,26,20
Caso 25,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,30
Caso 25,Programación Dinamica,42,48,30
Caso 26,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,50
Caso 26,Programación Dinamica,72,131,50
Caso 27,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,75
Caso 27,Programación Dinamica,108,282,75
Caso 28,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,100
Caso 28,Programación Dinamica,139,590,100
Caso 29,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,150
Caso 29,Programación Dinamica,211,1332,150
Caso 30,Fuerza Bruta,No ejecutado,Cadenas demasiado largas,200
Caso 30,Programación Dinamica,281,2599,200
